"filename", "language", "XML", "JSON", "CSS", "HTML", "JavaScript", "Java", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\GioHangEntity.java", "Java", 0, 0, 0, 0, 0, 96, 0, 0, 0, 22, 118
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\HoaDonEntity.java", "Java", 0, 0, 0, 0, 0, 102, 0, 0, 1, 26, 129
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\MonAnEntity.java", "Java", 0, 0, 0, 0, 0, 84, 0, 0, 0, 20, 104
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\NguoiDungEntity.java", "Java", 0, 0, 0, 0, 0, 126, 0, 0, 0, 30, 156
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\PersonsEntity.java", "Java", 0, 0, 0, 0, 0, -50, 0, 0, 0, -15, -65
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\login\LoginModel.java", "Java", 0, 0, 0, 0, 0, -22, 0, 0, 0, -8, -30
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\login\LoginValidationMessage.java", "Java", 0, 0, 0, 0, 0, -22, 0, 0, 0, -8, -30
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\CheckDataBaseServlet.java", "Java", 0, 0, 0, 0, 0, 60, 0, 0, 1, 10, 71
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\AddFoodServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\DeleteFoodServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\UpdateFoodServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\HelloServlet.java", "Java", 0, 0, 0, 0, 0, -39, 0, 0, -1, -9, -49
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LoginServlet.java", "Java", 0, 0, 0, 0, 0, 33, 0, 0, 0, 8, 41
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LogoutServlet.java", "Java", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\RegisterServlet.java", "Java", 0, 0, 0, 0, 0, -27, 0, 0, 0, -4, -31
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\AddUserServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\DeleteUserServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\UpdateUserServlet.java", "Java", 0, 0, 0, 0, 0, 83, 0, 0, 2, 21, 106
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\bill\AddBillServlet.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\GioHangEntity.hbm.xml", "XML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\HoaDonEntity.hbm.xml", "XML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\MonAnEntity.hbm.xml", "XML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\NguoiDungEntity.hbm.xml", "XML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\PersonsEntity.hbm.xml", "XML", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\hibernate.cfg.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
